Planner,Ave.Time(ms),Max.Time(ms),Accuracy,Precision,Recall,F1
RRT Ground Truth ,827.8522891891893,18941.2,1.0,1.0,1.0,1.0
Ground Truth,1610.6693873873874,23466.1,0.9996646646646646,0.9994723677010865,0.9992185210510892,0.9993454282560059
KCFRC keypoint,50.57414504504504,78.7397,0.9958958958958959,0.9981996953330564,0.9857575461561005,0.99193960602367
KCFRC conv,2.57968472972973,4.0701,0.9930780780780781,0.9994584403080873,0.9735078636319234,0.9863124870102236
RRT-C(1ms),303.2568662162162,1085.29,0.9979579579579579,1.0,0.9920289147211097,0.9959985092485436
RRT-C(50us),209.5999536036036,948.055,0.9716566566566567,1.0,0.8893621178079516,0.9414416743358806
STOMP,796.1613306306306,5099.62,0.9763213213213213,0.9992477001117702,0.9082543713978705,0.9515807141614385
FEC,10.22628936936937,36.7223,0.9477577577577577,1.0,0.7960730682817232,0.8864595570639169
