Planner,Ave.Time(ms),Max.Time(ms),Accuracy,Precision,Recall,F1
RRT Ground Truth ,654.6559200706896,7022.72,1.0,1.0,1.0,1.0
KCFRC conv,1.9089219120689653,4.5362,0.9776149425287356,1.0,0.9338535607842471,0.9657955283910287
KCFRC keypoint,33.55905099568965,58.3453,0.9939588122605364,1.0,0.9821486695706567,0.9909939497963036
RRT-C(1ms),587.399760199138,2004.23,0.9963840996168583,1.0,0.9893152414189359,0.9946289263970838
RRT-C(50us),470.8740499310345,1706.38,0.9624578544061303,1.0,0.8890653171321259,0.9412753588445057
STOMP,966.2095361293104,4507.9,0.9847471264367816,0.9996001812511661,0.955310820334723,0.9769538034039595
FEC,5.306035427586207,12.778,0.9204099616858238,1.0,0.7648164344323775,0.8667376612212561
