Planner,Ave.Time(ms),Max.Time(ms),Accuracy,Precision,Recall,F1
RRT Ground Truth ,458.75084763888896,5193.54,1.0,1.0,1.0,1.0
Ground Truth,1206.5951967013889,8440.99,0.9996508487654321,0.999828511780495,0.998823135078768,0.9993255705635771
KCFRC keypoint,47.467294010416666,83.7663,0.9964776234567901,0.9997358470629967,0.9866597147219843,0.9931547418220533
KCFRC conv,2.384194493055555,5.29509,0.9940412808641975,1.0,0.9769915459386987,0.9883618854574432
RRT-C(1ms),181.66979850694443,460.035,0.9975154320987655,1.0,0.9904063163383114,0.9951800375717569
RRT-C(50us),90.46549723958333,333.077,0.9720775462962963,1.0,0.892182786488399,0.9430196626449112
STOMP,309.47420800347226,1891.58,0.9917341820987654,0.9996616894001138,0.9684108599307288,0.9837881602494013
FEC,9.494366111111113,35.9683,0.9434780092592593,0.9999904721978734,0.7817585937209043,0.8775098135119206
